reaction_time,temperature,pressure,methane,ethane,ethylene,propane,acetylene,benzene,helium,hydrogen
15,895,435,81.09,0.007,0.00029,NaN,NaN,NaN,NaN,16.79
15,894,424,88.18,0.0461,0.0021,NaN,NaN,NaN,NaN,9.92
15,900,413,95.09,0.006,NaN,NaN,NaN,NaN,0.05,4.65
15,896,440,82.74,0.0053,0.00026,NaN,NaN,NaN,0.04,15.56
15,899,413,95.2,0.1767,0.07819,0.00351,NaN,NaN,NaN,3.28
30,886,443,80.63,0.01,0.00036,NaN,NaN,NaN,NaN,17.8
30,890,440,82.37,0.0399,0.00091,NaN,NaN,NaN,NaN,15.97
30,887,439,81.77,0.0617,0.00184,0.00062,NaN,0.0023,NaN,15.62
30,897,452,78.65,0.0051,NaN,NaN,NaN,NaN,0.06,20.48
60,887,450,78.3,0.0314,0.00354,NaN,NaN,NaN,NaN,19.11
60,886,448,79.32,0.0353,0.0043,NaN,NaN,0.00231,NaN,18.34
60,893,456,75.34,0.0054,0.00061,NaN,NaN,0.00248,NaN,22.61
180,900,469,71.94,0.0115,0.00291,NaN,NaN,NaN,NaN,25.76
180,887,464,73.2,0.011,0.00297,NaN,NaN,NaN,NaN,24.46
180,887,465,72.93,0.0054,0.00036,NaN,NaN,NaN,NaN,24.95
180,886,464,73.67,0.0068,0.00059,NaN,NaN,NaN,NaN,24.3
180,889,465,72.56,0.006,0.00042,NaN,NaN,NaN,NaN,25.22
300,894,467,72.93,0.0067,0.00082,NaN,NaN,NaN,0.04,25.56
300,893,468,72.77,0.0054,0.00045,NaN,NaN,0.00037,0.03,25.71
300,893,470,71.93,0.0042,0.00024,NaN,NaN,NaN,0.02,26.51
300,889,473,70.58,0.0108,0.00353,NaN,NaN,0.00238,NaN,27.51
300,886,467,70.94,0.0093,0.00289,NaN,NaN,0.00376,NaN,27.06
