Year,Viral Vectors,Lipid Nanoparticles,Metal Nanoparticles,Carbon Nanomaterials,Hydrogels,Synthetic Polymer Nanostructures,Peptide Nanostructures,Polysaccharide Nanostructures
1990,21,25,0,0,2,1,0,0
1991,41,50,0,0,9,4,0,1
1992,72,56,0,0,15,4,1,0
1993,128,82,0,0,14,8,1,0
1994,247,135,0,0,17,18,3,1
1995,404,178,0,1,35,14,4,1
1996,527,230,0,2,36,15,9,3
1997,552,249,0,0,46,22,7,6
1998,620,257,0,0,50,15,9,2
1999,847,274,1,0,51,25,8,8
2000,958,319,0,3,68,36,10,13
2001,940,314,0,5,59,36,14,12
2002,956,355,1,4,102,65,21,17
2003,1006,302,7,11,79,80,23,24
2004,986,382,11,11,102,124,32,43
2005,1072,421,10,35,145,150,68,47
2006,1049,475,28,75,180,242,95,93
2007,1022,442,36,105,226,300,121,118
2008,958,610,46,151,288,400,166,179
2009,1087,652,82,234,407,550,213,243
2010,1171,826,109,282,433,732,251,328
2011,1227,974,169,381,493,917,353,435
2012,1174,1139,174,460,568,1049,411,511
2013,1121,1187,193,635,553,1182,533,611
2014,1147,1319,274,736,682,1423,579,693
2015,1184,1498,314,850,768,1591,660,827
2016,1207,1793,399,1135,946,1849,776,1075
2017,1257,1953,516,1250,1081,2027,911,1163
2018,1286,2094,645,1483,1206,2190,1005,1230
2019,1315,2044,635,1313,1289,1923,933,1238
2020,1513,2380,715,1414,1418,2081,982,1398
2021,1793,2532,899,1521,1586,1967,1012,1478
2022,1648,2643,922,1439,1836,1890,1027,1477
2023,1731,2565,898,1468,1972,1793,883,1445
2024,1821,2859,951,1356,2195,1786,913,1543
2025,324,615,201,228,423,360,197,290
